"","Site","Timestamp","Year","Month","Day","tmx","Date","Time"
"281","FORBIO_Ged","1992.02.15",1992,2,15,7.5,1992-02-15,8080
"282","FORBIO_Hek","1992.02.15",1992,2,15,8.69999980926514,1992-02-15,8080
"283","FORBIO_Zed","1992.02.15",1992,2,15,8.10000038146973,1992-02-15,8080
"284","Gazi_Bay","1992.02.15",1992,2,15,32.7999992370605,1992-02-15,8080
"285","IDENT.auclair","1992.02.15",1992,2,15,-8.60000038146973,1992-02-15,8080
"286","IDENT.cloquet","1992.02.15",1992,2,15,-0.900000035762787,1992-02-15,8080
"287","IDENT.MAC","1992.02.15",1992,2,15,12.4000005722046,1992-02-15,8080
"288","Kreinitz","1992.02.15",1992,2,15,6.20000028610229,1992-02-15,8080
"289","ORPHEE","1992.02.15",1992,2,15,12.1999998092651,1992-02-15,8080
"290","Parker_caging","1992.02.15",1992,2,15,9.80000019073486,1992-02-15,8080
"291","Ridgefield","1992.02.15",1992,2,15,30,1992-02-15,8080
"292","Sabah","1992.02.15",1992,2,15,28.7000007629395,1992-02-15,8080
"293","Sardinilla","1992.02.15",1992,2,15,30,1992-02-15,8080
"294","Satakunta","1992.02.15",1992,2,15,0.5,1992-02-15,8080
"295","BangorDIVERSE","1992.03.16",1992,3,16,10,1992-03-16,8110
"296","BEF_China","1992.03.16",1992,3,16,12.1999998092651,1992-03-16,8110
"297","BiodiversiTREE","1992.03.16",1992,3,16,12.6000003814697,1992-03-16,8110
"298","BIOTREE_Kal","1992.03.16",1992,3,16,8,1992-03-16,8110
"299","CM.Hartshorne","1992.03.16",1992,3,16,10.8000001907349,1992-03-16,8110
"300","CM.Hucking","1992.03.16",1992,3,16,10.8000001907349,1992-03-16,8110
"301","CommuniTree","1992.03.16",1992,3,16,14.5,1992-03-16,8110
"302","FORBIO_Ged","1992.03.16",1992,3,16,10.6000003814697,1992-03-16,8110
"303","FORBIO_Hek","1992.03.16",1992,3,16,11.4000005722046,1992-03-16,8110
"304","FORBIO_Zed","1992.03.16",1992,3,16,10,1992-03-16,8110
"305","Gazi_Bay","1992.03.16",1992,3,16,33.6000022888184,1992-03-16,8110
"306","IDENT.auclair","1992.03.16",1992,3,16,-2.79999995231628,1992-03-16,8110
"307","IDENT.cloquet","1992.03.16",1992,3,16,2.79999995231628,1992-03-16,8110
"308","IDENT.MAC","1992.03.16",1992,3,16,13.8000001907349,1992-03-16,8110
"309","Kreinitz","1992.03.16",1992,3,16,9.5,1992-03-16,8110
"310","ORPHEE","1992.03.16",1992,3,16,14.5,1992-03-16,8110
"311","Parker_caging","1992.03.16",1992,3,16,11.8000001907349,1992-03-16,8110
"312","Ridgefield","1992.03.16",1992,3,16,27.6000003814697,1992-03-16,8110
"313","Sabah","1992.03.16",1992,3,16,29.8000011444092,1992-03-16,8110
"314","Sardinilla","1992.03.16",1992,3,16,30.8999996185303,1992-03-16,8110
"315","Satakunta","1992.03.16",1992,3,16,3,1992-03-16,8110
"316","BangorDIVERSE","1992.04.16",1992,4,16,11.8000001907349,1992-04-16,8141
"317","BEF_China","1992.04.16",1992,4,16,21.8999996185303,1992-04-16,8141
"318","BiodiversiTREE","1992.04.16",1992,4,16,19.3999996185303,1992-04-16,8141
"319","BIOTREE_Kal","1992.04.16",1992,4,16,12,1992-04-16,8141
"320","CM.Hartshorne","1992.04.16",1992,4,16,12.6000003814697,1992-04-16,8141
"321","CM.Hucking","1992.04.16",1992,4,16,12.6000003814697,1992-04-16,8141
"322","CommuniTree","1992.04.16",1992,4,16,16.8000011444092,1992-04-16,8141
"323","FORBIO_Ged","1992.04.16",1992,4,16,13.3000001907349,1992-04-16,8141
"324","FORBIO_Hek","1992.04.16",1992,4,16,14.1000003814697,1992-04-16,8141
"325","FORBIO_Zed","1992.04.16",1992,4,16,12.3000001907349,1992-04-16,8141
